model,precision,best_batch_size,throughput
gpt2,fp16,24,979.2012251968455
resnet50,fp16,32,3066.132167108174
bert-large,fp16,1024,615.1119088992706
gpt2,bf16,24,977.6007592133378
resnet50,bf16,24,1536.4946905207823
bert-large,bf16,1024,622.6385016979749
gpt2,fp32,2,139.0431251075318
resnet50,fp32,12,1542.328781983199
bert-large,fp32,4,46.564550703249715
