timestamp,utilization_percent,memory_used_mb,power_watts
1760789905.7564821,4,26.6796875,39.0
1760789906.7569582,33,445.3828125,69.0
1760789907.7576172,60,667.51171875,148.0
1760789908.7583258,69,771.55859375,153.0
1760789909.7587478,71,879.62109375,137.0
1760789910.7593484,69,1079.70703125,133.0
1760789911.759653,87,1087.0234375,169.0
1760789912.7599733,99,1087.08984375,232.0
1760789913.7603366,85,1087.12109375,187.0
1760789914.7606573,84,1073.16796875,180.0
1760789915.761007,99,1033.18359375,248.0
1760789916.761356,76,1013.23046875,170.0
1760789917.761625,92,1013.24609375,220.0
1760789918.7619398,89,933.26171875,225.0
1760789919.7622287,79,853.33984375,181.0
1760789920.762608,82,1324.87890625,199.0
1760789921.7630491,90,1324.87890625,274.0
1760789922.7636788,90,1324.87890625,274.0
