timestamp,utilization_percent,memory_used_mb,power_watts
1760789639.7768877,6,26.67578125,44.0
1760789640.7772913,54,491.49609375,118.0
1760789641.7776785,77,925.40234375,194.0
1760789642.7780704,91,1765.41796875,247.0
1760789643.7785754,81,1881.46875,198.0
1760789644.7792242,91,2055.53515625,243.0
1760789645.7798457,99,2467.53515625,254.0
1760789646.7802272,90,2513.55078125,225.0
1760789647.7807696,58,2631.59765625,136.0
1760789648.7811527,99,2613.59765625,256.0
1760789649.7815342,99,2999.6015625,248.0
1760789650.7819178,79,3033.625,172.0
1760789651.7823281,89,3033.65625,164.0
1760789652.7827492,90,3087.671875,166.0
1760789653.7834525,100,3087.671875,192.0
1760789654.7838736,100,3087.671875,185.0
1760789655.784526,69,3337.6875,130.0
1760789656.7851791,99,3309.73046875,190.0
1760789657.7858362,87,3316.93359375,177.0
1760789658.7863104,100,3316.93359375,179.0
1760789659.7869484,98,3316.96484375,191.0
1760789660.7875216,100,3316.96484375,214.0
1760789661.7881336,100,3337.0703125,267.0
1760789662.7885075,100,3337.0703125,256.0
1760789663.7891476,100,3337.0703125,247.0
1760789664.7895284,99,3323.12109375,250.0
1760789665.7899468,100,3323.12109375,273.0
1760789666.7903724,99,3303.13671875,246.0
1760789667.7908921,100,3303.13671875,240.0
1760789668.7914736,100,3303.13671875,229.0
1760789669.7919962,99,3283.13671875,217.0
1760789670.7924118,89,3323.16796875,201.0
1760789671.7927709,100,3295.16796875,267.0
1760789672.7931573,90,3295.18359375,227.0
1760789673.7935662,90,3259.19921875,219.0
1760789674.7939773,99,3235.19921875,219.0
1760789675.7946439,99,3215.21484375,234.0
1760789676.7950664,100,3309.21484375,269.0
1760789677.7956564,100,3309.21484375,272.0
1760789678.7960508,100,3309.21484375,269.0
1760789679.79641,100,2955.21484375,272.0
1760789680.79706,99,2917.23046875,256.0
1760789681.7974956,100,2917.23046875,244.0
1760789682.7980678,100,2917.23046875,237.0
1760789683.7985003,99,2865.23046875,221.0
1760789684.799263,89,2915.26171875,197.0
1760789685.7996974,100,2843.26171875,263.0
1760789686.8001418,90,2843.27734375,227.0
1760789687.8004951,90,2743.29296875,226.0
1760789688.80097,99,2665.29296875,228.0
1760789689.8013413,99,2687.29296875,225.0
1760789690.8019414,100,2785.29296875,267.0
1760789691.8023944,100,2785.29296875,273.0
1760789692.8030488,100,2431.29296875,273.0
1760789693.8035855,100,2431.29296875,274.0
1760789694.8039684,99,2357.29296875,260.0
1760789695.8043253,100,2357.29296875,268.0
1760789696.8048117,99,2243.29296875,238.0
1760789697.805213,90,2391.30859375,217.0
1760789698.8056288,100,2241.30859375,251.0
1760789699.8061914,91,1995.34765625,225.0
1760789700.806879,91,1995.38671875,228.0
1760789701.8072944,99,1897.38671875,219.0
1760789702.8077168,99,1917.38671875,250.0
1760789703.8081338,91,1179.42578125,182.0
1760789704.8085513,96,3848.9296875,188.0
1760789705.8093367,99,3848.9296875,276.0
1760789706.8096898,99,3848.9296875,273.0
1760789707.8103054,99,3848.9296875,274.0
1760789708.811019,99,3848.9296875,275.0
1760789709.8117805,99,3848.9296875,274.0
1760789710.812466,99,3848.9296875,273.0
1760789711.813001,99,3848.9296875,274.0
1760789712.813664,99,3848.9296875,274.0
1760789713.8140628,99,3848.9296875,274.0
