timestamp,utilization_percent,memory_used_mb,power_watts
1760792786.1924977,6,26.6796875,45.0
1760792787.1949742,0,26.6484375,20.0
1760792788.204069,0,26.6484375,19.0
1760792789.2047288,0,26.6484375,19.0
1760792790.206023,0,26.6484375,19.0
1760792791.2064555,0,26.6484375,19.0
1760792792.2068684,0,26.6484375,19.0
1760792793.2073023,0,26.6484375,19.0
1760792794.2076447,39,6809.88671875,95.0
1760792795.208137,99,6809.88671875,270.0
1760792796.208542,99,6809.88671875,269.0
1760792797.2089548,99,6809.88671875,270.0
1760792798.2093754,99,6809.88671875,268.0
1760792799.2098024,99,6809.88671875,269.0
1760792800.2102225,99,6809.88671875,270.0
1760792801.210632,99,6809.88671875,269.0
1760792802.2109625,99,6809.88671875,269.0
1760792803.2113726,99,6809.88671875,270.0
1760792804.2117484,99,6809.88671875,270.0
1760792805.212082,99,6809.88671875,268.0
1760792806.2124975,99,6809.88671875,269.0
1760792807.2129116,99,6809.88671875,270.0
1760792808.2133362,99,6809.88671875,268.0
1760792809.213753,99,6809.88671875,269.0
1760792810.214223,99,6809.88671875,270.0
1760792811.2147098,99,6809.88671875,270.0
