timestamp,utilization_percent,memory_used_mb,power_watts
1760789931.7728462,3,26.640625,34.0
1760789932.7735126,25,421.3828125,56.0
1760789933.7738683,56,611.53125,117.0
1760789934.7742884,61,701.609375,126.0
1760789935.774709,62,897.6875,109.0
1760789936.7753012,86,905.02734375,174.0
1760789937.775715,90,905.125,197.0
1760789938.7762203,80,911.171875,179.0
1760789939.7766283,89,893.21875,207.0
1760789940.7770092,79,833.25,184.0
1760789941.77738,79,819.3046875,181.0
1760789942.778136,74,1162.8828125,145.0
1760789943.7784798,84,1162.8828125,254.0
1760789944.7789412,84,1162.8828125,255.0
