timestamp,utilization_percent,memory_used_mb,power_watts
1758395094.2439716,3,26.671875,33.0
1758395095.2443538,0,26.640625,28.0
1758395096.2448976,0,26.640625,28.0
1758395097.245288,0,26.640625,28.0
1758395098.2469695,0,26.640625,28.0
1758395099.2482853,0,26.640625,28.0
1758395100.2487113,0,26.640625,28.0
1758395101.249392,0,26.640625,28.0
1758395102.2498868,0,26.640625,28.0
1758395103.2502594,0,26.640625,28.0
1758395104.2507668,0,286.6953125,28.0
1758395105.2511404,63,13444.50390625,174.0
1758395106.2515016,99,13564.50390625,272.0
1758395107.2519708,99,13564.50390625,274.0
1758395108.25242,99,13564.50390625,273.0
1758395109.2527719,99,13564.50390625,274.0
1758395110.253127,99,13564.50390625,274.0
1758395111.2535386,99,13564.50390625,273.0
1758395112.2539916,99,13564.50390625,273.0
1758395113.2544136,99,13564.50390625,273.0
1758395114.2548335,99,13564.50390625,274.0
1758395115.2552588,99,13564.50390625,273.0
1758395116.255658,99,13564.50390625,274.0
1758395117.25623,99,13564.50390625,274.0
1758395118.2566583,99,13564.50390625,273.0
1758395119.257013,99,13564.50390625,274.0
1758395120.2575731,99,13564.50390625,273.0
1758395121.25793,99,13564.50390625,274.0
1758395122.258308,99,13564.50390625,274.0
1758395123.2586584,99,13564.50390625,272.0
1758395124.2591872,99,13564.50390625,274.0
1758395125.259541,99,13564.50390625,273.0
1758395126.2598956,99,13564.50390625,274.0
1758395127.260324,99,13564.50390625,274.0
1758395128.2607396,99,13564.50390625,273.0
1758395129.261158,99,13564.50390625,274.0
1758395130.2618258,99,13564.50390625,273.0
1758395131.2622578,99,13564.50390625,274.0
1758395132.2628736,99,13564.50390625,273.0
1758395133.263225,99,13564.50390625,274.0
1758395134.2636192,99,13564.50390625,274.0
1758395135.2642047,99,13564.50390625,272.0
1758395136.2646155,99,13564.50390625,274.0
1758395137.2650368,99,13564.50390625,273.0
1758395138.2654607,99,13564.50390625,274.0
1758395139.2658792,99,13564.50390625,274.0
1758395140.2665522,99,13564.50390625,272.0
1758395141.2669694,99,13564.50390625,274.0
1758395142.2676435,99,13564.50390625,273.0
1758395143.268318,99,13564.50390625,274.0
1758395144.2689939,99,13564.50390625,274.0
1758395145.269411,99,13564.50390625,273.0
1758395146.269829,99,13564.50390625,274.0
1758395147.2702022,99,13564.50390625,273.0
1758395148.270684,99,13564.50390625,274.0
1758395149.2709515,99,13564.50390625,274.0
1758395150.2713823,99,13564.50390625,273.0
1758395151.2717357,99,13564.50390625,274.0
1758395152.272322,99,13564.50390625,272.0
1758395153.272796,99,13564.50390625,274.0
1758395154.2734013,99,13564.50390625,273.0
1758395155.2738886,99,13564.50390625,274.0
1758395156.2743042,99,13564.50390625,274.0
1758395157.2746694,99,13564.50390625,273.0
1758395158.2751563,99,13564.50390625,274.0
1758395159.2755175,99,13564.50390625,273.0
1758395160.2762394,99,13564.50390625,274.0
1758395161.2766654,99,13564.50390625,274.0
1758395162.2770855,99,13564.50390625,272.0
1758395163.2777545,99,13564.50390625,274.0
1758395164.2781353,99,13564.50390625,273.0
1758395165.2786088,99,13564.50390625,274.0
1758395166.2792194,99,13564.50390625,274.0
1758395167.2795625,99,13564.50390625,272.0
1758395168.2799652,80,13564.50390625,236.0
1758395169.2805476,99,13564.50390625,274.0
1758395170.280909,99,13564.50390625,273.0
1758395171.281392,99,13564.50390625,274.0
1758395172.281807,99,13564.50390625,274.0
1758395173.2821715,99,13564.50390625,272.0
1758395174.282657,99,13564.50390625,274.0
1758395175.2830696,99,13564.50390625,273.0
1758395176.2834969,99,13564.50390625,274.0
1758395177.2839117,99,13564.50390625,274.0
1758395178.2845914,99,13564.50390625,273.0
1758395179.2850125,99,13564.50390625,274.0
1758395180.285434,99,13564.50390625,273.0
1758395181.285852,99,13564.50390625,274.0
1758395182.2865276,99,13564.50390625,274.0
1758395183.287172,99,13564.50390625,273.0
1758395184.287613,99,13564.50390625,274.0
1758395185.2881887,99,13564.50390625,272.0
1758395186.288721,99,13564.50390625,274.0
1758395187.289387,99,13564.50390625,273.0
1758395188.2900562,99,13564.50390625,274.0
1758395189.2904778,99,13564.50390625,274.0
1758395190.2911532,99,13564.50390625,273.0
1758395191.2915711,99,13564.50390625,274.0
1758395192.2919939,99,13564.50390625,273.0
1758395193.2924154,99,13564.50390625,274.0
1758395194.2930217,99,13564.50390625,274.0
1758395195.293376,99,13564.50390625,272.0
1758395196.293824,99,13564.50390625,274.0
1758395197.2942414,99,13564.50390625,273.0
1758395198.294736,99,13564.50390625,274.0
1758395199.295081,99,13564.50390625,274.0
1758395200.2955067,99,13564.50390625,273.0
1758395201.2958574,99,13564.50390625,274.0
1758395202.2962277,99,13564.50390625,273.0
1758395203.2967665,99,13564.50390625,274.0
1758395204.2971916,99,13564.50390625,274.0
1758395205.2976174,99,13564.50390625,273.0
1758395206.2980363,99,13564.50390625,274.0
1758395207.2984567,99,13564.50390625,273.0
1758395208.2989597,99,13564.50390625,274.0
1758395209.2995632,99,13564.50390625,273.0
1758395210.2999346,99,13564.50390625,274.0
1758395211.3002815,99,13564.50390625,274.0
