model,precision,best_batch_size,throughput
gpt2,fp16,24,1747.0049027689797
resnet50,fp16,48,4671.7771431992505
bert-large,fp16,96,1398.7919868768538
gpt2,bf16,24,1748.0800749361033
resnet50,bf16,48,4389.009610072852
bert-large,bf16,96,1463.3853947696662
gpt2,fp32,16,1484.9472349110786
resnet50,fp32,24,2761.1256334115433
bert-large,fp32,32,873.9655945267548
