timestamp,utilization_percent,memory_used_mb,power_watts
1760788637.6964664,0,482.0,72.528
1760788638.6971095,0,482.0,72.283
1760788639.6976876,0,482.0,70.925
1760788640.69836,0,482.0,56.666
1760788641.699037,0,482.0,42.318
1760788642.6996312,20,5217.75,66.485
1760788643.7002742,97,11851.75,261.043
1760788644.7008471,97,11851.75,302.409
1760788645.7013924,98,11851.75,304.994
1760788646.7019522,98,11851.75,308.084
1760788647.7025251,97,11851.75,300.082
1760788648.7030945,97,11851.75,293.834
1760788649.7036445,97,11851.75,296.668
1760788650.7042384,98,11851.75,303.283
1760788651.7048068,98,11851.75,308.744
1760788652.705382,98,11851.75,308.038
1760788653.7061815,97,11851.75,299.347
1760788654.707121,97,11851.75,295.381
1760788655.7080424,97,11851.75,294.87
1760788656.7090762,98,11851.75,304.695
