timestamp,utilization_percent,memory_used_mb,power_watts
1760787946.8804886,0,482.0,95.88
1760787947.8814976,0,482.0,91.51
1760787948.8820946,0,482.0,69.11
1760787949.8826127,0,482.0,68.675
1760787950.8833337,0,482.0,68.306
1760787951.88458,28,40661.75,127.062
1760787952.8855658,98,43817.75,322.83
1760787953.8865354,99,43817.75,321.354
1760787954.8877301,100,43817.75,328.757
1760787955.888501,100,43817.75,321.878
1760787956.889602,99,43817.75,324.825
1760787957.8902645,99,43817.75,322.437
1760787958.8909543,100,43817.75,327.35
1760787959.891694,100,43817.75,319.822
1760787960.8924184,99,43817.75,324.973
1760787961.8931265,99,43817.75,325.797
1760787962.8939786,100,43817.75,327.538
1760787963.8946955,100,43817.75,322.257
1760787964.895389,99,43817.75,329.489
1760787965.8961537,99,43817.75,327.855
1760787966.8970652,100,43817.75,335.955
1760787967.8980632,100,43817.75,339.003
1760787968.899232,99,43817.75,345.346
1760787969.9002657,99,43817.75,341.361
1760787970.9013655,100,43817.75,338.215
1760787971.9023817,100,43817.75,338.989
1760787972.9038417,99,43817.75,342.075
1760787973.9045353,99,43817.75,336.613
1760787974.9055927,100,43817.75,333.116
1760787975.9063072,100,43817.75,316.669
1760787976.9072185,99,43817.75,318.053
1760787977.9079406,99,43817.75,326.62
1760787978.9089477,100,43817.75,327.324
1760787979.9098117,100,43817.75,325.351
1760787980.9106798,99,43817.75,337.116
1760787981.9114082,99,43817.75,341.738
1760787982.9125085,99,43817.75,343.219
1760787983.9139118,100,43817.75,341.175
1760787984.9151876,99,43817.75,338.939
1760787985.916193,100,43817.75,333.465
1760787986.9172738,99,43817.75,330.78
1760787987.9183702,100,43817.75,328.786
1760787988.9196978,100,43817.75,319.087
1760787989.9204996,99,43817.75,328.776
1760787990.9215987,99,43817.75,338.065
1760787991.9228327,100,43817.75,342.428
1760787992.923581,100,43817.75,343.878
1760787993.9243226,99,43817.75,341.176
1760787994.9249625,99,43817.75,334.164
1760787995.9255364,100,43817.75,327.46
1760787996.9261642,100,43817.75,320.078
1760787997.92674,99,43817.75,325.641
1760787998.927846,99,43817.75,338.277
1760787999.928667,99,43817.75,342.789
1760788000.929786,100,43817.75,343.284
1760788001.9307506,99,43817.75,333.773
1760788002.931729,100,43817.75,330.778
1760788003.932689,100,43817.75,326.172
1760788004.933577,100,43817.75,328.763
1760788005.9343758,100,43817.75,333.629
1760788006.935023,99,43817.75,349.846
1760788007.9356098,99,43817.75,340.924
1760788008.9362264,100,43817.75,338.933
1760788009.9367952,100,43817.75,322.978
1760788010.937386,99,43817.75,321.018
1760788011.9380503,99,43817.75,328.087
1760788012.938631,100,43817.75,335.596
1760788013.9392533,100,43817.75,343.342
1760788014.939892,99,43817.75,344.244
1760788015.9404461,100,43817.75,345.086
1760788016.9410973,99,43817.75,332.597
1760788017.9420254,100,43817.75,330.458
1760788018.9430177,100,43817.75,320.179
1760788019.9440742,99,43817.75,334.103
1760788020.9450297,99,43817.75,337.553
1760788021.9459922,100,43817.75,341.7
1760788022.9469397,100,43817.75,337.233
1760788023.948065,99,43817.75,324.733
1760788024.9486473,99,43817.75,328.154
1760788025.9493053,100,43817.75,326.122
1760788026.9499083,100,43817.75,332.004
1760788027.9504817,99,43817.75,345.299
1760788028.9512348,100,43817.75,345.07
1760788029.9519603,99,43817.75,337.857
1760788030.952849,100,43817.75,325.529
1760788031.9537473,100,43817.75,322.578
