timestamp,utilization_percent,memory_used_mb,power_watts
1760789131.4745753,0,482.0,72.979
1760789132.4752262,0,482.0,72.317
1760789133.4757693,0,482.0,70.689
1760789134.476216,0,482.0,70.408
1760789135.4768665,0,482.0,70.116
1760789136.4777484,10,6019.75,67.882
1760789137.478771,93,8741.75,238.983
1760789138.4798157,94,8741.75,328.459
1760789139.480758,93,8741.75,273.365
1760789140.4816973,94,8741.75,335.933
1760789141.4826245,92,8741.75,270.437
1760789142.4834864,91,8741.75,325.002
1760789143.4845026,93,8741.75,292.555
1760789144.485047,94,8741.75,310.992
1760789145.4856474,93,8741.75,299.614
