model,precision,best_batch_size,throughput
gpt2,fp16,32,1504.6584215101411
resnet50,fp16,64,4882.464482216099
bert-large,fp16,64,1427.2983566649486
gpt2,bf16,32,1476.5478602344915
resnet50,bf16,64,4768.4253982104065
bert-large,bf16,64,1427.4893236944797
gpt2,fp32,24,1230.183355599583
resnet50,fp32,32,2704.236103835398
bert-large,fp32,32,818.9728629950288
