gpu_short_name,model,precision,efficiency_mean,efficiency_std,throughput_mean,power_mean
L40S,bert-large,bf16,1.1674841658211705,0.011736035320426342,368.61086681738465,315.76231272727273
L40S,bert-large,fp16,1.1605109742883268,0.019995425066323357,362.84594743306764,312.751919
L40S,bert-large,fp32,0.7179282060030038,0.02075354664639727,237.24060002198163,330.725152
L40S,gpt2,bf16,1.197524462862888,0.012850310049244057,376.5732154365204,314.484633
L40S,gpt2,fp16,1.17062243105995,0.01767669667815655,362.37932218665657,309.625971
L40S,gpt2,fp32,1.0351100416411387,0.0483519411065124,317.79863090639486,307.69046399999996
L40S,resnet50,bf16,3.721737687336243,0.06396976476896726,1188.6609105523507,319.408326
L40S,resnet50,fp16,3.8553058013469697,0.0315224437039127,1213.2781230399596,314.717247
L40S,resnet50,fp32,2.18222305847545,0.05593196536410339,685.910211229954,314.346335
RTX 4090,bert-large,bf16,0.9873792758972323,0.0026743455851694162,362.9921170630558,367.63421
RTX 4090,bert-large,fp16,0.9822879010169068,0.018849258083019925,356.1384499449489,362.62703267326737
RTX 4090,bert-large,fp32,0.5366965760983037,0.0018878460663845468,229.72058178325878,428.03197700000004
RTX 4090,gpt2,bf16,1.190251913840077,0.008064004290844825,417.74505148357116,350.98773800000004
RTX 4090,gpt2,fp16,1.1703602585895425,0.007780243994829597,411.0270650511899,351.21263500000003
RTX 4090,gpt2,fp32,0.9561217759487901,0.004602404897735933,333.8618231720314,349.190595
RTX 4090,resnet50,bf16,3.5238841261409393,0.023776600794040082,1258.244989078711,357.074934
RTX 4090,resnet50,fp16,3.982658260682486,0.1041312299767028,1322.2983995803818,332.015784
RTX 4090,resnet50,fp32,2.0332032574038905,0.010854813053107154,717.5794426134869,352.938982
RX 7900 XT,bert-large,bf16,0.6067761069735808,0.03593133582265268,161.4290700520966,266.675
RX 7900 XT,bert-large,fp16,0.6440821937049943,0.05653641590585488,172.46222859063505,268.569
RX 7900 XT,bert-large,fp32,0.09961639207422994,0.008320230578659956,25.91511756959252,261.43839541547277
RX 7900 XT,gpt2,bf16,0.9549803882056529,0.04960559331070537,255.84080865002994,268.436
RX 7900 XT,gpt2,fp16,0.9504635306620267,0.061768248961763875,253.2809633141341,267.261
RX 7900 XT,gpt2,fp32,0.2595722879428171,0.08708173876182705,66.07563836979989,261.234273318872
RX 7900 XT,resnet50,bf16,1.5506608287465344,0.2713411807966738,392.8861889249372,256.979
RX 7900 XT,resnet50,fp16,2.3177720798336874,0.2660356624461847,600.8706819516364,261.225
RX 7900 XT,resnet50,fp32,1.1100247619151191,0.12653066347111366,288.93730234074604,262.495
