gpu_short_name,model,precision,mean,std,max
L40S,bert-large,bf16,16.430816173553467,0.0,16.430816173553467
L40S,bert-large,fp16,36.605295181274414,0.0,36.605295181274414
L40S,bert-large,fp32,41.62474298477173,0.0,41.62474298477173
L40S,gpt2,bf16,7.551073913097381,0.0005125933918143102,7.552505016326904
L40S,gpt2,fp16,7.5512994842529295,0.0007208220763438536,7.552627086639404
L40S,gpt2,fp32,31.073726654052734,0.0,31.073726654052734
L40S,resnet50,bf16,3.015106201171875,0.0,3.015106201171875
L40S,resnet50,fp16,4.346987247467041,0.0,4.346987247467041
L40S,resnet50,fp32,2.8904857635498047,0.0,2.8904857635498047
RTX 4090,bert-large,bf16,20.466315746307373,0.0,20.466315746307373
RTX 4090,bert-large,fp16,20.386447207762462,0.7990906095696156,20.46631669998169
RTX 4090,bert-large,fp32,22.742791652679443,0.0,22.742791652679443
RTX 4090,gpt2,bf16,19.309235668182374,0.0003333544849927047,19.30933904647827
RTX 4090,gpt2,fp16,19.309239684581758,0.00033783069756014046,19.309422969818115
RTX 4090,gpt2,fp32,16.239498138427734,0.0,16.239498138427734
RTX 4090,resnet50,bf16,8.352389812469482,0.0,8.352389812469482
RTX 4090,resnet50,fp16,8.352391242980957,0.0,8.352391242980957
RTX 4090,resnet50,fp32,10.632371425628662,0.0,10.632371425628662
RX 7900 XT,bert-large,bf16,16.44621992111206,0.0,16.44621992111206
RX 7900 XT,bert-large,fp16,16.446220874786377,0.0,16.446220874786377
RX 7900 XT,bert-large,fp32,16.37659454345703,0.0,16.37659454345703
RX 7900 XT,gpt2,bf16,13.493239498138427,0.0004172129526225247,13.493666648864746
RX 7900 XT,gpt2,fp16,13.493240928649902,0.0004172129526225247,13.49366807937622
RX 7900 XT,gpt2,fp32,16.29566192626953,0.0,16.29566192626953
RX 7900 XT,resnet50,bf16,11.037144660949707,0.0,11.037144660949707
RX 7900 XT,resnet50,fp16,11.037146091461182,0.0,11.037146091461182
RX 7900 XT,resnet50,fp32,10.650193691253662,0.0,10.650193691253662
