gpu,model,precision,throughput_samples_per_sec,speedup_vs_fp32,power_watts,energy_efficiency_samples_per_watt,peak_memory_gb,batch_size
L40S,resnet50,fp32,685.9102112299541,1.0,314.34633499999995,2.18222305847545,2.8904857635498047,32
L40S,resnet50,fp16,1213.2781230399596,1.768858522844185,314.717247,3.8553058013469697,4.346987247467041,96
L40S,resnet50,bf16,1188.6609105523507,1.7329686759158736,319.408326,3.721737687336243,3.015106201171875,64
L40S,bert-large,fp32,237.24060002198163,1.0,330.725152,0.7179282060030038,41.62474298477173,192
L40S,bert-large,fp16,362.8459474330676,1.5294428837199363,312.751919,1.1605109742883268,36.605295181274414,256
L40S,bert-large,bf16,368.61086681738465,1.5537427690843424,315.76231272727273,1.1674841658211705,16.430816173553467,96
L40S,gpt2,fp32,317.79863090639486,1.0,307.690464,1.0351100416411387,31.073726654052734,128
L40S,gpt2,fp16,362.3793221866566,1.1402796832482034,309.625971,1.17062243105995,7.5512994842529295,32
L40S,gpt2,bf16,376.5732154365204,1.1849428500132122,314.484633,1.197524462862888,7.551073913097381,32
RX 7900 XT,resnet50,fp32,288.93730234074604,1.0,262.495,1.1100247619151191,10.650193691253662,128
RX 7900 XT,resnet50,fp16,600.8706819516362,2.079588468099646,261.225,2.3177720798336874,11.037146091461182,256
RX 7900 XT,resnet50,bf16,392.8861889249372,1.3597627780908794,256.979,1.5506608287465344,11.037144660949707,256
RX 7900 XT,bert-large,fp32,25.91511756959252,1.0,261.43839541547277,0.09961639207422994,16.37659454345703,64
RX 7900 XT,bert-large,fp16,172.46222859063505,6.654888912909793,268.569,0.6440821937049943,16.446220874786377,96
RX 7900 XT,bert-large,bf16,161.4290700520966,6.229146737173566,266.675,0.6067761069735808,16.44621992111206,96
RX 7900 XT,gpt2,fp32,66.07563836979989,1.0,261.234273318872,0.2595722879428171,16.29566192626953,64
RX 7900 XT,gpt2,fp16,253.2809633141341,3.833197371421796,267.261,0.9504635306620267,13.493240928649902,64
RX 7900 XT,gpt2,bf16,255.84080865002994,3.871938508080505,268.436,0.9549803882056529,13.493239498138427,64
RTX 4090,resnet50,fp32,717.5794426134869,1.0,352.938982,2.0332032574038905,10.632371425628662,128
RTX 4090,resnet50,fp16,1322.2983995803818,1.842720570093892,332.015784,3.982658260682486,8.352391242980957,192
RTX 4090,resnet50,bf16,1258.244989078711,1.753457407441987,357.074934,3.5238841261409393,8.352389812469482,192
RTX 4090,bert-large,fp32,229.72058178325878,1.0,428.0319770000001,0.5366965760983037,22.742791652679443,96
RTX 4090,bert-large,fp16,356.1384499449489,1.5503114574251136,362.62703267326737,0.9822879010169068,20.386447207762462,128
RTX 4090,bert-large,bf16,362.9921170630558,1.5801462552691017,367.63421,0.9873792758972323,20.466315746307373,128
RTX 4090,gpt2,fp32,333.8618231720314,1.0,349.190595,0.9561217759487901,16.239498138427734,64
RTX 4090,gpt2,fp16,411.0270650511899,1.2311292772141755,351.21263500000003,1.1703602585895425,19.309239684581758,96
RTX 4090,gpt2,bf16,417.74505148357116,1.2512513336043116,350.98773800000004,1.190251913840077,19.309235668182374,96
