gpu_short_name,model,precision,mean,median,std,min,max,p95,p99,jitter_ratio
L40S,bert-large,bf16,65.75880868434906,65.74050903320312,0.18640482905272454,64.59202289581299,66.42123937606812,65.95146298408508,65.99809107780457,1.0039181632206613
L40S,bert-large,fp16,68.52865726947785,68.50582242012024,0.19018905930925928,68.29313516616821,69.34096336364746,68.9447103738785,69.29313571453095,1.0114926478742554
L40S,bert-large,fp32,36.59453780651093,36.565436124801636,0.11542351997547912,36.4476752281189,37.20182657241822,36.781787157058716,37.068556833267216,1.0137594614419032
L40S,gpt2,bf16,14.178672003746033,14.026224613189697,0.8277014844678091,13.033115863800049,16.860740184783936,15.751603841781618,16.6211629152298,1.1850061847433933
L40S,gpt2,fp16,14.276004457473755,14.192142486572266,0.9007619085364359,13.125419616699219,17.399187088012695,15.873334169387817,16.418782830238346,1.1568924738299937
L40S,gpt2,fp32,11.272942042350769,11.120362281799316,0.5627550800217078,10.565574169158936,12.875175476074219,12.362340211868288,12.848739624023438,1.1554245534835637
L40S,resnet50,bf16,11.02481722831726,10.646073818206787,0.7420528065907763,10.47041177749634,13.44003677368164,12.848003149032591,13.131004023551942,1.2334128287834578
L40S,resnet50,fp16,10.468586730957032,10.146280527114868,0.5923060848130182,10.054781436920166,12.303633689880371,11.852528333663939,12.22799174785614,1.2051698861645033
L40S,resnet50,fp32,8.802298903465271,8.703030347824097,0.2595117980040701,8.655908107757568,9.974324703216553,9.37978720664978,9.937097358703614,1.1417973925815454
RTX 4090,bert-large,bf16,44.743687987327576,44.72596883773804,0.07635330835088101,44.62226867675781,44.89321708679199,44.861207127571106,44.88959159851074,1.0036583391042084
RTX 4090,bert-large,fp16,44.84603941440582,44.85341548919678,0.048934273471757016,44.68307971954345,44.93812084197997,44.901726722717285,44.91812164783478,1.0014426138552055
RTX 4090,bert-large,fp32,79.19618325233459,79.20209646224976,0.059398304408424876,78.96476984024048,79.30314302444458,79.26952850818634,79.28863635063172,1.0010926464354792
RTX 4090,gpt2,bf16,21.384127712249757,21.361407041549683,0.09243334678063847,21.256685256958008,21.77523374557495,21.59716522693634,21.662451791763306,1.0140929270074797
RTX 4090,gpt2,fp16,20.968262910842896,20.9444522857666,0.09207270039197706,20.844640731811523,21.249616146087643,21.18410038948059,21.235111832618717,1.0138776389511814
RTX 4090,gpt2,fp32,19.07378170490265,19.074766635894775,0.05125710601197287,18.939049243927002,19.235415458679203,19.152618050575256,19.213376927375798,1.007266683473872
RTX 4090,resnet50,bf16,13.414663243293763,13.414003849029541,0.02536775610575734,13.344907760620119,13.470618724822998,13.45844233036041,13.470403933525086,1.004204567490088
RTX 4090,resnet50,fp16,13.121474957466125,13.120718002319336,0.02589253241895132,13.070573806762695,13.172070980072021,13.15936291217804,13.16652889251709,1.0034914926294167
RTX 4090,resnet50,fp32,11.694248366355897,11.69404149055481,0.024401481979760168,11.650879383087158,11.740121841430664,11.735607147216797,11.736784315109253,1.0036550943135414
RX 7900 XT,bert-large,bf16,1657.5232829168006,1657.7278208732605,1.9541401545158974,1645.3032231330872,1659.6589374542236,1659.0163118839264,1659.556071281433,1.0011028652503458
RX 7900 XT,bert-large,fp16,1670.4616198062897,1671.190893650055,2.471102597127132,1661.3726162910464,1673.7340927124026,1673.2411115169525,1673.6870298147203,1.0014936271937274
RX 7900 XT,bert-large,fp32,85.3936952829361,85.40386915206909,0.14814252164996736,84.96640205383301,85.98319292068481,85.59392678737639,85.68857951164247,1.003333693922771
RX 7900 XT,gpt2,bf16,24.048257780075073,24.04680371284485,0.021796359521617806,24.008686542510986,24.109575748443604,24.09665882587433,24.102929019927977,1.0023340027952716
RX 7900 XT,gpt2,fp16,24.077135586738585,24.0811288356781,0.020127077348603504,24.005920886993408,24.11630153656006,24.104307293891907,24.116067862510683,1.0014508882482624
RX 7900 XT,gpt2,fp32,14.320314192771912,14.317302703857422,0.021619074674352545,14.271991252899168,14.368586540222168,14.354465723037718,14.367906761169433,1.0035344686327248
RX 7900 XT,resnet50,bf16,20.65384132862091,20.663598775863647,0.0751502421657019,20.497426986694336,20.768518447875977,20.7428959608078,20.758331203460692,1.004584507695131
RX 7900 XT,resnet50,fp16,10.375098729133606,10.373989343643188,0.009529873841815556,10.351388454437256,10.409495830535889,10.392043828964233,10.399676799774172,1.002476140593563
RX 7900 XT,resnet50,fp32,7.7320410966873165,7.7315521240234375,0.011217752925458306,7.708780765533447,7.76341438293457,7.750638842582703,7.76228141784668,1.0039745310295147
